Variables,Zone,Season,Param_means,Param_vars,Param_sd,Param_min,Param_max
Salinity,Diffuse,FALL,34.082677526944444,1.0219043581951845,1.0108928519854044,28.02859405,34.64521502
Salinity,Diffuse,SPRING,34.09023345134328,0.72170990691358206,0.8495351122311438,29.12292683,34.62435652
Salinity,Transition,FALL,33.33047245666667,3.8581908519297254,1.964227800416674,25.96034904,34.6343686
Salinity,Transition,SPRING,32.852835911944446,3.700444756397367,1.9236540116136704,27.7402879,34.50669252
Temp_in,Diffuse,FALL,26.51954741,0.7279030030573388,0.8531723173294705,24.45273464,28.13003202
Temp_in,Diffuse,SPRING,24.461056309104478,0.8013213264784367,0.895165530211277,23.26102354,26.3741154
Temp_in,Transition,FALL,26.362989227499998,1.254129546065859,1.1198792551279173,24.17257622,28.80420676
Temp_in,Transition,SPRING,24.399555496944444,1.1020150756284661,1.0497690582354131,22.63449814,26.93809503
percent_sgd,Diffuse,FALL,1.844870162875,8.98323300694894,2.9972041984070654,0.216624685,19.55684755
percent_sgd,Diffuse,SPRING,1.8173237652089551,6.297735963610722,2.509529032231092,0.279596977,16.33979328
percent_sgd,Transition,FALL,4.0587297530277775,33.07795505236529,5.751343760580243,0.249370277,25.6369509
percent_sgd,Transition,SPRING,5.517801560027777,32.77193994341507,5.724678151950123,0.512919897,20.40439276
